id,first,last,num,userid,total_cnt,promotion_cnt,promotion_amt,regular_cnt,regular_amt
"183049","2017-05-11","2017-05-11","1","183049","2",NULL,NULL,"2","256.0000"
"183054","2017-03-28","2017-03-28","1","183054","2",NULL,NULL,"1","48.0000"
"183070","2017-03-27","2017-04-22","7","183070","7","2","16.0000","5","292.9000"
"183083","2017-03-25","2017-03-25","1","183083","1",NULL,NULL,"1","159.0000"
"183086","2017-03-26","2017-03-26","1","183086","2",NULL,NULL,"2","199.8000"
"183091","2017-03-25","2017-03-25","2","183091","2",NULL,NULL,"2","195.7000"
"183092","2017-04-14","2017-04-17","2","183092","2",NULL,NULL,"2","118.0000"
"183103","2017-03-25","2017-03-25","1","183103","1","1","6.0000",NULL,NULL
"183108","2017-03-25","2017-03-27","2","183108","2","1","10.0000","1","59.0000"
"183115","2017-03-26","2017-03-26","1","183115","1","1","6.0000",NULL,NULL
"183121","2017-04-11","2017-04-11","1","183121","1",NULL,NULL,"1","48.0000"
"183123","2017-04-01","2017-04-11","3","183123","4",NULL,NULL,"4","423.0000"
"183128","2017-03-25","2017-03-25","1","183128","1",NULL,NULL,"1","59.0000"
"183131","2017-03-25","2017-03-25","1","183131","1","1","6.0000",NULL,NULL
"183133","2017-05-14","2017-05-14","1","183133","1","1","5.0000",NULL,NULL
"183134","2017-03-28","2017-03-30","2","183134","2",NULL,NULL,"2","186.0000"
"183135","2017-03-25","2017-04-23","7","183135","13","1","13.0000","12","1120.8000"
"183138","2017-04-22","2017-04-22","1","183138","1","1","13.0000",NULL,NULL
"183148","2017-03-25","2017-04-09","4","183148","4","1","6.0000","3","155.0000"
"183150","2017-03-26","2017-04-19","5","183150","5","2","13.0000","3","168.8000"
"183154","2017-04-01","2017-04-01","2","183154","2",NULL,NULL,"2","108.0000"
"183159","2017-03-25","2017-03-25","2","183159","2","1","6.0000","1","88.0000"
"183162","2017-03-25","2017-03-30","4","183162","4",NULL,NULL,"4","304.9000"
"183164","2017-03-26","2017-05-13","7","183164","8","2","12.0000","6","465.7000"
"183175","2017-03-26","2017-03-26","1","183175","2","1","12.0000",NULL,NULL
"183177","2017-03-25","2017-03-25","1","183177","1","1","6.0000",NULL,NULL
"183187","2017-03-25","2017-05-03","6","183187","7","1","6.0000","6","457.6000"
"183190","2017-03-26","2017-04-04","3","183190","3","1","6.0000","2","179.8000"
"183192","2017-04-13","2017-04-20","2","183192","2","1","7.0000","1","69.9000"
"183205","2017-03-25","2017-03-25","1","183205","1","1","6.0000",NULL,NULL
"183207","2017-03-25","2017-03-25","1","183207","1","1","6.0000",NULL,NULL
"183212","2017-04-21","2017-05-03","2","183212","2",NULL,NULL,"2","228.0000"
"183220","2017-03-25","2017-03-25","1","183220","1",NULL,NULL,"1","59.0000"
"183221","2017-03-26","2017-03-26","1","183221","2",NULL,NULL,"2","418.0000"
"183224","2017-03-25","2017-04-06","2","183224","2","1","6.0000","1","89.9000"
"183231","2017-03-28","2017-03-28","1","183231","1",NULL,NULL,"1","85.0000"
"183235","2017-03-25","2017-03-25","1","183235","1","1","6.0000",NULL,NULL
"183244","2017-03-26","2017-05-14","6","183244","6","2","27.0000","4","243.6000"
"183258","2017-03-26","2017-04-09","2","183258","2","1","6.0000","1","48.0000"
"183278","2017-04-17","2017-04-17","1","183278","2",NULL,NULL,"1","99.9000"
"183284","2017-03-26","2017-03-26","1","183284","1","1","6.0000",NULL,NULL
"183291","2017-03-27","2017-03-27","1","183291","1",NULL,NULL,"1","79.0000"
"183296","2017-03-28","2017-05-13","5","183296","6",NULL,NULL,"6","453.5000"
"183299","2017-03-26","2017-04-13","3","183299","3","1","10.0000","2","197.0000"
"183302","2017-04-17","2017-04-17","1","183302","1",NULL,NULL,"1","59.0000"
"183309","2017-03-27","2017-04-27","3","183309","6","1","13.0000","5","344.6000"
