time,user_id,order
"2017-05-13 10","4285","3"
"2017-05-15 10","274160","3"
"2017-05-12 07","107035","3"
"2017-05-04 12","196670","3"
"2017-05-03 12","187996","3"
"2017-05-10 22","300535","3"
"2017-05-12 08","301353","3"
"2017-05-16 18","282424","3"
"2017-05-12 09","74363","3"
"2017-05-04 16","190478","3"
"2017-05-01 20","20593","3"
"2017-05-12 10","82481","3"
"2017-05-15 18","272539","3"
"2017-05-13 13","18679","3"
"2017-05-12 10","219877","3"
"2017-05-15 10","57612","3"
"2017-05-15 10","110588","3"
"2016-05-18 11","165","3"
"2017-05-12 22","55769","3"
"2017-05-05 11","247778","3"
"2017-05-16 12","136788","3"
"2017-05-06 20","83","3"
"2017-05-04 15","131234","3"
"2017-05-12 09","198818","3"
"2017-05-02 22","287967","3"
"2017-05-15 10","1568","3"
"2017-05-07 11","56716","3"
"2017-05-06 11","145431","3"
"2017-05-13 15","135529","3"
"2017-05-14 13","17870","3"
"2017-05-12 23","21","3"
"2017-05-12 12","268328","3"
"2017-05-15 10","221524","3"
"2017-05-12 06","138003","3"
"2017-05-09 17","146317","3"
"2017-05-07 21","139586","3"
"2017-05-15 11","148961","3"
"2017-05-13 10","134324","3"
"2017-05-02 18","107346","3"
"2017-05-14 20","71397","3"
"2017-05-13 10","185730","3"
"2017-05-12 17","148961","3"
"2017-05-14 21","50483","3"
"2017-05-14 07","212846","3"
"2017-05-15 18","24234","3"
"2017-05-17 14","258582","3"
"2017-05-14 23","23483","3"
"2017-05-14 10","148961","3"
"2017-05-14 10","232488","3"
"2017-05-13 15","292610","3"
"2017-05-16 11","124016","3"
"2017-05-14 13","20593","3"
"2017-05-12 00","42183","3"
"2017-05-15 10","195475","3"
"2017-05-13 18","172860","3"
"2017-05-01 07","167338","3"
"2017-05-09 15","211653","3"
"2017-05-12 07","146356","3"
"2017-05-02 17","273071","3"
"2017-05-01 12","136788","3"
"2017-05-13 10","160863","3"
"2017-05-14 20","248455","3"
"2017-05-03 16","10138","3"
"2017-05-14 22","131234","3"
"2017-05-05 21","281514","3"
"2017-05-04 19","235681","3"
"2017-05-10 11","140011","3"
"2017-05-02 08","139861","3"
"2017-05-11 18","37480","3"
"2017-05-07 12","222153","3"
"2017-05-12 10","286706","3"
"2017-05-14 10","292807","3"
"2017-05-12 21","60787","3"
"2017-05-12 21","229490","3"
"2016-05-18 21","3724","3"
"2017-05-12 22","127253","3"
"2017-05-15 10","160445","3"
"2017-05-06 17","128141","3"
"2017-05-14 13","49859","3"
"2017-05-05 13","128219","3"
"2017-05-02 16","68266","3"
"2017-05-13 10","24740","3"
"2017-05-08 17","169323","3"
"2017-05-03 13","194400","3"
"2017-05-07 08","31831","3"
"2017-05-13 10","239520","3"
"2017-05-15 18","38617","3"
"2017-05-12 10","138295","3"
"2017-05-08 22","191190","3"
"2017-05-12 10","237817","3"
"2017-05-03 10","46085","3"
"2017-05-11 18","113296","3"
"2017-05-03 10","83993","3"
"2017-05-05 08","162071","3"
"2017-05-02 13","153925","3"
"2017-05-12 01","193297","3"
"2017-05-04 11","130383","3"
"2017-05-08 17","188782","3"
"2017-05-14 20","12187","3"
"2017-05-11 05","4640","3"
"2017-05-13 22","252525","3"
"2017-05-04 15","217516","3"
"2017-05-10 07","273188","3"
"2017-05-11 16","167704","3"
"2017-05-12 19","144063","3"
"2017-05-10 13","31831","3"
"2017-05-09 08","136755","3"
"2017-05-15 10","71674","3"
"2016-05-03 11","2169","3"
"2017-05-08 12","143390","3"
"2017-05-15 10","163251","3"
"2017-05-14 13","120601","3"
"2016-05-28 23","7155","3"
"2017-05-13 17","294807","3"
"2017-05-13 19","18474","3"
"2017-05-02 15","192784","3"
"2017-05-10 18","221155","3"
"2017-05-13 09","162215","3"
"2017-05-08 16","83993","3"
"2017-05-14 17","219681","3"
"2017-05-13 10","31831","3"
"2017-05-15 10","291617","3"
"2017-05-07 21","101075","3"
"2017-05-12 17","11623","3"
"2017-05-12 17","162042","3"
"2017-05-02 21","27997","3"
"2017-05-14 22","162042","3"
"2017-05-09 06","82251","3"
"2017-05-12 10","202355","3"
"2017-05-15 10","20442","3"
"2017-05-12 10","249219","3"
"2017-05-12 10","299371","3"
"2017-05-15 10","72108","3"
"2017-05-02 12","170027","3"
"2017-05-15 10","124998","3"
"2016-05-17 20","158","3"
"2017-05-14 13","140011","3"
"2017-05-16 12","52118","3"
"2017-05-10 18","145553","3"
"2017-05-16 12","177475","3"
"2017-05-03 11","14253","3"
"2017-05-05 14","127540","3"
"2017-05-07 20","188156","3"
"2017-05-12 07","23776","3"
"2017-05-15 10","294623","3"
"2017-05-01 10","165263","3"
"2017-05-01 11","240743","3"
"2017-05-12 08","136906","3"
"2017-05-07 22","224053","3"
"2017-05-12 09","42544","3"
"2017-05-02 20","49859","3"
"2017-05-02 21","49859","3"
"2017-05-12 10","68266","3"
"2017-05-14 23","107035","3"
"2017-05-03 00","268046","3"
"2017-05-02 04","72415","3"
"2017-05-14 10","136082","3"
"2017-05-10 12","157688","3"
"2017-05-16 07","315914","3"
"2017-05-15 10","102570","3"
"2017-05-06 13","128203","3"
"2017-05-14 11","206612","3"
"2017-05-12 13","24853","3"
"2017-05-15 10","212208","3"
"2017-05-14 16","184162","3"
"2017-05-08 16","174980","3"
"2017-05-12 14","139800","3"
"2017-05-07 21","119537","3"
"2017-05-09 17","271773","3"
"2017-05-14 20","103120","3"
"2017-05-12 17","25635","3"
"2017-05-08 19","133590","3"
"2017-05-14 21","169892","3"
"2017-05-14 22","51009","3"
"2017-05-13 11","90485","3"
"2017-05-02 22","183120","3"
"2017-05-17 17","36202","3"
"2017-05-15 20","58767","3"
"2017-05-12 10","258582","3"
"2017-05-04 22","170878","3"
"2017-05-13 14","151117","3"
"2017-05-12 12","6914","3"
"2017-05-04 09","245896","3"
